Catagory,Sub Catagory,Item,Measuring Units,Current Stock,Calories,Protein(g),Carbs(g),Fat(g)
Fresh,Vegitables,Asparagus,,0,,,,
Fresh,Vegitables,Beets,,0,,,,
Fresh,Vegitables,Brocc/Cauliflower,,0,,,,
Fresh,Vegitables,Carrots,,0,,,,
Fresh,Vegitables,Celery,,0,,,,
Fresh,Vegitables,Corn,,0,,,,
Fresh,Vegitables,Cucubers,,0,,,,
Fresh,Vegitables,Greens,,0,,,,
Fresh,Vegitables,Lettuce,,0,,,,
Fresh,Vegitables,Mushrooms,,0,,,,
Fresh,Vegitables,Onions,,0,,,,
Fresh,Vegitables,Peppers,,0,,,,
Fresh,Vegitables,Potatoes,,0,,,,
Fresh,Vegitables,Spinach,,0,,,,
Fresh,Vegitables,Sprouts,,0,,,,
Fresh,Vegitables,Tomatoes,,0,,,,
Fresh,Vegitables,Zucchini,,0,,,,
Fresh,Fruit,Apples,,0,,,,
Fresh,Fruit,Avovados,,0,,,,
Fresh,Fruit,Bananas,,0,,,,
Fresh,Fruit,Berries,,0,,,,
Fresh,Fruit,Cherries,,0,,,,
Fresh,Fruit,Grapes,,0,,,,
Fresh,Fruit,Kiwis,,0,,,,
Fresh,Fruit,Lemons/Limes,,0,,,,
Fresh,Fruit,Melons,,0,,,,
Fresh,Fruit,Oranges,,0,,,,
Fresh,Fruit,Peaches,,0,,,,
Fresh,Fruit,Pears,,0,,,,
Fresh,Fruit,Plums,,0,,,,
Bakery,Bakery,Bagles,,0,,,,
Bakery,Bakery,Croissants,,0,,,,
Bakery,Bakery,Fresh Bread,,0,,,,
Bakery,Bakery,Pitas,,0,,,,
Bakery,Bakery,Sliced Bread,,0,218,11.1,37,2.9
Bakery,Bakery,Tortillas,,0,,,,
Canned Foods,Canned Foods,Applesauce,,0,,,,
Canned Foods,Canned Foods,Baked Beans,,0,,,,
Canned Foods,Canned Foods,Beans,,0,,,,
Canned Foods,Canned Foods,carrots,,0,,,,
Canned Foods,Canned Foods,Corn,,0,,,,
Canned Foods,Canned Foods,Gravy,,0,,,,
Canned Foods,Canned Foods,Mixed Fruit,,0,,,,
Canned Foods,Canned Foods,Mixed Veggies,,0,,,,
Canned Foods,Canned Foods,Olives,,0,,,,
Canned Foods,Canned Foods,Pasta Sauce,,0,,,,
Canned Foods,Canned Foods,Pickles,,0,,,,
Canned Foods,Canned Foods,Tuna,,0,,,,
Canned Foods,Canned Foods,Soups,,0,,,,
Canned Foods,Canned Foods,Tomatoes,,0,,,,
Starch,Starch,Rice(Dry),,0,352,8,77,1
Starch,Starch,Noodles(Dry),,0,175,6,35,1
Starch,Starch,Pasta(Dry,,0,316,13,62,2
Starch,Starch,Potatoes,,0,100,2,18,2
Cooking,Baking,Baking Powder,,0,,,,
Cooking,Baking,Baking Soda,,0,,,,
Cooking,Baking,Bouilon Cubes,,0,,,,
Cooking,Baking,Bread Crumbs,,0,,,,
Cooking,Baking,Brown Sugar,,0,,,,
Cooking,Baking,Chocolate chips,,0,,,,
Cooking,Baking,Cocoa,,0,,,,
Cooking,Baking,Flour,,0,,,,
Cooking,Baking,Powdered Sugar,,0,,,,
Cooking,Baking,Shortening,,0,,,,
Cooking,Baking,Sugar,,0,,,,
Cooking,Baking,Yeast,,0,,,,
Cooking,Spices & herbs,Basil,,0,,,,
Cooking,Spices & herbs,Black pepper,,0,,,,
Cooking,Spices & herbs,Cilantro,,0,,,,
Cooking,Spices & herbs,Cinnamon,,0,,,,
Cooking,Spices & herbs,Garlic,,0,,,,
Cooking,Spices & herbs,Oregano,,0,,,,
Cooking,Spices & herbs,Parsley,,0,,,,
Cooking,Spices & herbs,Red Pepper,,0,,,,
Cooking,Spices & herbs,Salt,,0,,,,
Cooking,Spices & herbs,Vanila extract,,0,,,,
Cooking,Oils/ Vinegars,Apple cider vinegar,,0,,,,
Cooking,Oils/ Vinegars,Balsamic vinegar,,0,,,,
Cooking,Oils/ Vinegars,Salad dressing,,0,,,,
Cooking,Oils/ Vinegars,Olive Oil,,0,884,0,0,88
Cooking,Oils/ Vinegars,Vegitable Oil,,0,,,,
Cooking,Oils/ Vinegars,White Vinegar,,0,,,,
Sandwiches,Sandwiches,Honey,,0,,,,
Sandwiches,Sandwiches,Jam,,0,,,,
Sandwiches,Sandwiches,Peanut Butter,,0,685,29,18,51
Sandwiches,Sandwiches,Ketchup,,0,,,,
Sandwiches,Sandwiches,Mayonnaise,,0,,,,
Sandwiches,Sandwiches,Mustard,,0,,,,
Sauces,Sauces,BBQ Sauce,,0,,,,
Sauces,Sauces,Hot Sauce,,0,,,,
Sauces,Sauces,Salsa,,0,,,,
Sauces,Sauces,Soy Sauce,,0,,,,
Sauces,Sauces,Steak Sauce,,0,,,,
Sauces,Sauces,Syrup,,0,,,,
Sauces,Sauces,Worcester Sauce,,0,,,,
Sauces,Sauces,Lemon/ Lime Juice,,0,,,,
Breakfast,Breakfast,Granola,,0,428,9.6,69.7,10.9
Breakfast,Breakfast,Oats,,0,389,16.89,66.27,6.9
Beverages,Beverages,Coffee,,0,,,,
Beverages,Beverages,Tea,,0,,,,
Beverages,Beverages,Juice,,0,,,,
Beverages,Beverages,Soda,,0,,,,
Beverages,Alcohol,Beer,,0,,,,
Beverages,Alcohol,Whiskey,,0,,,,
Beverages,Alcohol,Tonic,,0,,,,
Beverages,Alcohol,Gin,,0,,,,
Drugs,Drugs,Weed,,0,,,,
Snacks,Snacks,Candy,,0,,,,
Snacks,Snacks,Gum,,0,,,,
Snacks,Snacks,Nuts,,0,,,,
Snacks,Snacks,Crisps,,0,,,,
Snacks,Snacks,Tortilla Chips,,0,,,,
Snacks,Snacks,Salsa,,0,,,,
Bathroom,Personal Care,Antiperspirant,,0,,,,
Bathroom,Personal Care,Bath Soap,,0,,,,
Bathroom,Personal Care,Conditioner,,0,,,,
Bathroom,Personal Care,Condoms,,0,,,,
Bathroom,Personal Care,Facial Cleanser,,0,,,,
Bathroom,Personal Care,Tea Tree Oil,,0,,,,
Bathroom,Personal Care,Floss,,0,,,,
Bathroom,Personal Care,Hair Wax,,0,,,,
Bathroom,Personal Care,Hand Soap,,0,,,,
Bathroom,Personal Care,Lip Balm,,0,,,,
Bathroom,Personal Care,Moisturizing Lotion,,0,,,,
Bathroom,Personal Care,Mouthwash,,0,,,,
Bathroom,Personal Care,Q-Tips,,0,,,,
Bathroom,Personal Care,Razors,,0,,,,
Bathroom,Personal Care,Shampoo,,0,,,,
Bathroom,Personal Care,Shaving Cream,,0,,,,
Bathroom,Personal Care,Toilet Paper,,0,,,,
Bathroom,Personal Care,Tooth Paste,,0,,,,
Bathroom,Medicine,Allergy,,0,,,,
Bathroom,Medicine,Antidiarrheal,,0,,,,
Bathroom,Medicine,Aspirin,,0,,,,
Bathroom,Medicine,Antacid,,0,,,,
Bathroom,Medicine,Band-aid,,0,,,,
Bathroom,Medicine,Cold/Flu,,0,,,,
Bathroom,Medicine,Prescription,,0,,,,
Bathroom,Medicine,Sinus,,0,,,,
Bathroom,Medicine,Vitamins,,0,,,,
Hard Goods,Kitchen,Aluminium Foil,,0,,,,
Hard Goods,Kitchen,Coffee Filters,,0,,,,
Hard Goods,Kitchen,Freezer Bag,,0,,,,
Hard Goods,Kitchen,Napkins,,0,,,,
Hard Goods,Kitchen,Non-stick Spray,,0,,,,
Hard Goods,Kitchen,Plastic Wrap,,0,,,,
Hard Goods,Kitchen,Roasting Pan,,0,,,,
Hard Goods,Kitchen,Sandwitch bags,,0,,,,
Hard Goods,Kitchen,Wax Paper,,0,,,,
Hard Goods,Cleaning Products,Air Freshener,,0,,,,
Hard Goods,Cleaning Products,Bathroom Cleaner,,0,,,,
Hard Goods,Cleaning Products,Baby Wipes,,0,,,,
Hard Goods,Cleaning Products,Bleach,,0,,,,
Hard Goods,Cleaning Products,Dish/Washer Soap,,0,,,,
Hard Goods,Cleaning Products,Dryer Sheets,,0,,,,
Hard Goods,Cleaning Products,Fabric Softener,,0,,,,
Hard Goods,Cleaning Products,Floor Cleaner,,0,,,,
Hard Goods,Cleaning Products,Laundry Detergent,,0,,,,
Hard Goods,Cleaning Products,Mop Head,,0,,,,
Hard Goods,Cleaning Products,Oven Cleaner,,0,,,,
Hard Goods,Cleaning Products,Paper Towels,,0,,,,
Hard Goods,Cleaning Products,Songe/Scrubblers,,0,,,,
Hard Goods,Cleaning Products,Spray Polish,,0,,,,
Hard Goods,Cleaning Products,Vacuum Bags,,0,,,,
Hard Goods,Office Supplies,Envelopes,,0,,,,
Hard Goods,Office Supplies,Glue,,0,,,,
Hard Goods,Office Supplies,Notepads,,0,,,,
Hard Goods,Office Supplies,Paper,,0,,,,
Hard Goods,Office Supplies,Pen/Pencils,,0,,,,
Hard Goods,Office Supplies,Scotch Tape,,0,,,,
Refrigerator,Dairy,Almond Milk,,0,17,1.46,0.57,0.62
Refrigerator,Dairy,Butter,,0,736,0,0,83
Refrigerator,Dairy,Heavy Cream,,0,,,,
Refrigerator,Dairy,Margarine,,0,,,,
Refrigerator,Dairy,Milk,,0,,,,
Refrigerator,Dairy,Sour Cream,,0,,,,
Refrigerator,Dairy,Whipped Cream,,0,,,,
Refrigerator,Dairy,Yoghurt,,0,,,,
Refrigerator,Cheese,Cheddar,,0,,,,
Refrigerator,Cheese,Cottage Cheese,,0,,,,
Refrigerator,Cheese,Cream Cheese,,0,,,,
Refrigerator,Cheese,Feta,,0,,,,
Refrigerator,Cheese,Mozzarella,,0,,,,
Refrigerator,Cheese,Parmesan,,0,,,,
Refrigerator,Cheese,Sandwitch slices,,0,,,,
Refrigerator,Cheese,Shredded,,0,,,,
Refrigerator,Cheese,Swiss,,0,,,,
Refrigerator,Meat,Bacon,,0,533,38.3,1.5,40.3
Refrigerator,Meat,Beef,,0,,,,
Refrigerator,Meat,Chicken,,0,152,29,0,3
Refrigerator,Meat,Ground Beef,,0,,,,
Refrigerator,Meat,Ground Turkey,,0,,,,
Refrigerator,Meat,Ham,,0,,,,
Refrigerator,Meat,Pork,,0,143,26.2,0,3.5
Refrigerator,Meat,Sausage,,0,312,1.6,18,26
Refrigerator,Meat,Steak,,0,,,,
Refrigerator,Meat,Turkey,,0,,,,
Refrigerator,Eggs,Eggs,,0,143,14.1,0.5,9.6
Refrigerator,Seafood,Cocktail Sauce,,0,,,,
Refrigerator,Seafood,Crab,,0,,,,
Refrigerator,Seafood,Halibut,,0,,,,
Refrigerator,Seafood,Oysters,,0,,,,
Refrigerator,Seafood,Salmon,,0,,,,
Refrigerator,Seafood,Shrimp,,0,,,,
Refrigerator,Seafood,Tilapia,,0,,,,
Freezer,Freezer,Ice Cream,,0,,,,
Freezer,Freezer,Pizza,,0,,,,
Freezer,Freezer,Vegitables,,0,,,,
Suppliments,Gym,Whey,,0,400,100,0,0
